Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00     24.96     0.00        7     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     24.96     0.00        7     0.00     0.00  itti_create_task
  0.00     24.96     0.00        7     0.00     0.00  itti_mark_task_ready
  0.00     24.96     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::deallocate(std::_Rb_tree_node<std::pair<int const, double> >*, unsigned long)
  0.00     24.96     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::destroy<std::pair<int const, double> >(std::pair<int const, double>*)
  0.00     24.96     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::allocate(unsigned long, void const*)
  0.00     24.96     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::construct<std::pair<int const, double>, std::pair<int const, double> const&>(std::pair<int const, double>*, std::pair<int const, double> const&)
  0.00     24.96     0.00        6     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::__aligned_membuf()
  0.00     24.96     0.00        6     0.00     0.00  bool __gnu_cxx::operator==<MessageDef_s* const*, MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >(__gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&, __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&)
  0.00     24.96     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::max_size() const
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::_M_const_cast() const
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Alloc_node::operator()<std::pair<int const, double> const&>(std::pair<int const, double> const&) const
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::size() const
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >::_Rb_tree_node()
  0.00     24.96     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::_Rb_tree_node<std::pair<int const, double> >*, unsigned long)
  0.00     24.96     0.00        6     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::destroy<std::pair<int const, double> >(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*)
  0.00     24.96     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, unsigned long)
  0.00     24.96     0.00        6     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::construct<std::pair<int const, double>, std::pair<int const, double> const&>(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*, std::pair<int const, double> const&)
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_node_base::_Rb_tree_node_base()
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int const, double> > const&)
  0.00     24.96     0.00        6     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::operator++()
